"William G. Bogart / Lester Dent","Death in Little Houses","Oct, 1946","1946"
"Lester Dent","The Devil Is Jones","Nov, 1946","1946"
"William G. Bogart","The Disappearing Lady","Dec, 1946","1946"
"William G. Bogart","Target for Death","Jan, 1947","1947"
"William G. Bogart","The Death Lady","Feb, 1947","1947"
"Lester Dent","Danger Lies East","Mar / Apr, 1947","1947"
"Lester Dent","No Light to Die By","May / Jun, 1947","1947"
"Lester Dent","The Monkey Suit","Jul / Aug, 1947","1947"
"Lester Dent","Let's Kill Ames","Sep / Oct, 1947","1947"
"Lester Dent","Once Over Lightly","Nov / Dec, 1947","1947"
"Lester Dent","I Died Yesterday","Jan / Feb, 1948","1948"
"Lester Dent","The Pure Evil","Mar / Apr, 1948","1948"
"Lester Dent","Terror Wears No Shoes","May / Jun, 1948","1948"
"Lester Dent","The Angry Canary","Jul / Aug, 1948","1948"
"Lester Dent","The Swooning Lady","Sep / Oct, 1948","1948"
"Lester Dent","The Green Master","Winter, 1949","1949"
"Lester Dent","Return From Cormoral","Spring, 1949","1949"
"Lester Dent","Up From Earth's Center","Summer, 1949","1949"
"Lester Dent","In Hell, Madonna / The Red Spider","Jul, 1979","1979"
"Philip Jose Farmer","Escape from Loki","Aug, 1991","1991"
"Lester Dent / Will Murray","Python Isle","Oct, 1991","1991"
"Lester Dent / Will Murray","White Eyes","Mar, 1992","1992"
"Lester Dent / Will Murray","The Frightened Fish","Jul, 1992","1992"
"Lester Dent / Will Murray","The Jade Ogre","Oct, 1992","1992"
"Lester Dent / Will Murray","Flight into Fear","Mar, 1993","1993"
"Lester Dent / Will Murray","The Whistling Wraith","Jul, 1993","1993"
"Lester Dent / Will Murray","The Forgotten Realm","Nov, 1993","1993"
"Lester Dent / Will Murray","The Desert Demons","Jul, 2011","2011"
"Lester Dent / Will Murray","Horror in Gold","Nov, 2011","2011"
"Lester Dent / Will Murray","The Infernal Buddha","May, 2012","2012"
"Lester Dent / Will Murray","Death's Dark Domain","Sep, 2012","2012"
"Will Murray","Skull Island","Mar, 2013","2013"
"Lester Dent / Will Murray","The Miracle Menace","Sep, 2013","2013"
"Lester Dent / Will Murray","Phantom Lagoon","Dec, 2013","2013"
"Ryerson Johnson / Will Murray","The War Makers","May, 2014","2014"
"Lester Dent / Will Murray","The Ice Genius","Sep, 2014","2014"
"Lester Dent / Will Murray","The Sinister Shadow","June, 2015","2015"
"Lester Dent / Will Murray","The Secret of Satan's Spine","Nov, 2015","2015"
"Lester Dent / Will Murray","Glare of the Gorgon","May, 2016","2016"
"Lester Dent / Will Murray","Empire of Doom","Jan, 2017","2017"
"Lester Dent / Will Murray","Mr. Calamity","Mar, 2018","2018"
"Lester Dent / Will Murray","The Valley of Eternity","Mar, 2018","2018"
